,Question,Question - Converted,Question - Converted Alternate,Format,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6,Answer 7,#7,Rob Rating,Andy Rating
0,Name Something That Spies In Movies Always Carry,<MASK> is something spies in movies always carry,Spies in movies always carry <MASK>,,Weapon,34,Binoculars,20,Camera,18,Phone,9,Magnifying Glass,8,Briefcase,4,Flashlight,4,,2
1,Name Something A Clown Might Be Carrying,<MASK> is something a clown might be carrying,A clown carries <MASK>,,Balloons,28,Pie,21,Flowers,14,Horn,12,Ball,11,Umbrella,9,handkerchief,4,1,2
2,Name Something That A Child Often Loses,<MASK> is something that a child often loses,A child often loses <MASK>,,Teeth,35,Toys,34,Money,13,Homework,7,Gloves,4,Jacket,3,Temper,3,1,2
3,Name Something People Get Trapped In,<MASK> is something people get trapped in,People get trapped in <MASK>,,Relationship,27,Elevator,16,Lies,15,Car,14,Debt,11,Traffic,5,Cave,4,2,2
4,Tell Me Something You’d Be Reluctant To Buy From A Rummage Sale,<MASK> is something you'd be reluctant to buy from a rummage sale,<MASK> is something you'd be reluctant to buy from a rummage sale,,Underwear,51,Shoes,12,TV,10,Food,9,Car,6,Bed,5,Computer,4,2,2
5,"Name Something Specific That Takes Longer To Dry, Than To Wash.",<MASK> is something specific that takes longer to dry than to wash,<MASK> is something specific that takes longer to dry than to wash,,Hair,35,Jeans,28,Towels,14,Blankets,11,Car,4,Dishes,4,Dog,3,2,2
6,"We Asked 100 Women: When You Should Be Focusing On Romance, Name Something Your Mind Is Often Distracted By Instead?","We asked 100 women: when you should be focusing on romance, <MASK> is something your mind is often distracted by instead","We asked 100 women: when you should be focusing on romance, your mind is often distracted by <MASK>",,Job,40,Kids,19,Bills,16,Eating,10,Other Men,5,Tv,5,House,3,2,2
7,Name Something You Wouldn’t Miss About Daily Life If You Were Stranded On A Desert Island.,<MASK> is something you wouldn't miss about daily life if you were stranded on a desert island,"If you were stranded on a desert island, you wouldn't miss <MASK> from daily life",,Work,27,TV,20,Traffic,12,Bills,12,Telephone,10,People,8,Housework,5,2,2
8,"Besides Alcohol, Drugs, Or Tobacco, Name Something That People Get Addicted To.","Besides alcohol, drugs, and tobacco, <MASK> is something that people get addicted to","Besides alcohol, drugs, and tobacco, people get addicted to <MASK>",,Love,24,Gambling,20,Coffee,18,Eating,12,TV,11,Chocolate,7,Internet,6,2,2
9,"When You Donâ€™t Want To Get Out Of Bed In The Morning, Name Something That Gets You Up Anyway","When you don't want to get out of bed in the morning, <MASK> is something that gets you up anyways","When you don't want to get out of bed in the morning, <MASK> gets you up anyways",,Alarm,35,Kids,31,Work,16,Pet,5,Hunger,4,Sunlight,4,Phone,3,2,2
10,Name Something You Find In A Little Boy’s Pocket.,<MASK> is something you find in a little boy's pocket,You might find <MASK> in a little boy's pocket,,Rocks,26,Marbles,19,Frog,18,Dirt,10,Worms,8,Candy,7,Toy Car,7,2,2
11,Name Something You Might Find On Top Of A Tall Office Building,<MASK> is something you might find on top of a tall office building,You might find <MASK> on top of a tall building,,Antenna,23,Satellite Dish,19,Flag,19,Helipad,13,Lightning Rod,8,Roof,8,Bird,5,3,2
12,Name Something That College Students Get Stolen From Them On Campus.,<MASK> is something college students get stolen from them on campus,College students get <MASK> stolen from them on campus,,Computer,30,Money,27,Book,24,Car,5,Bike,4,Phone,4,Ipod,3,3,2
13,What Might Some Women Love More Than Their Spouse?,Some women might love <MASK> more than their spouse,Some women might love <MASK> more than their spouse,,Children,36,Money,23,Shopping,12,Shoes,9,Pet,8,Chocolate,4,Jewelry,3,3,2
14,Name An Item A Company Might Put Their Logo On And Give Out For Free.,<MASK> is an item a company might put their logo on and give out for free,A company might put their logo on <MASK> and give it out for free,,Pen,47,Hat,18,Shirt,16,Food Service,7,Magnet,4,Cup,3,Key Chain,3,3,2
15,Name Something You See A Lot Of When You Look Out The Window On A Long Car Ride.,<MASK> is something you see a lot of when you look out the window on a long car ride,You see a lot of <MASK> when you look out the window on a long car ride,,Trees,41,Vehicles,26,Fields,9,Cows,8,Road,6,Billboards,4,Mountains,3,3,2
